"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PROD_ID";"SF_SKU";"SPICEPREFIX";"VALUE";
"R9";"680";"RESISTOR0805";"0805";"Resistors";"";"";"";"";"";"";"";"";
"R10";"10k";"TRIM_US-S64W";"S64W";"POTENTIOMETER";"";"";"";"";"";"";"";"";
"R11";"330";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";
"R12";"10k";"TRIM_US-S64W";"S64W";"POTENTIOMETER";"";"";"";"";"";"";"";"";
"R13";"330";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";
"R14";"10k";"TRIM_US-S64W";"S64W";"POTENTIOMETER";"";"";"";"";"";"";"";"";
"R15";"330";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";
"R16";"10k";"TRIM_US-S64W";"S64W";"POTENTIOMETER";"";"";"";"";"";"";"";"";
"R17";"330";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";
"R18";"10k";"TRIM_US-S64W";"S64W";"POTENTIOMETER";"";"";"";"";"";"";"";"";
"R19";"330";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";
"R20";"10k";"TRIM_US-S64W";"S64W";"POTENTIOMETER";"";"";"";"";"";"";"";"";
"R21";"330";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";
"R22";"220";"RESISTOR_4PACK";"RESPACK_4X0603";"Resistor Packs (4 resistors)";"";"";"";"";"";"";"";"";
"R23";"220";"RESISTOR_4PACK";"RESPACK_4X0603";"Resistor Packs (4 resistors)";"";"";"";"";"";"";"";"";
"R24";"220";"RESISTOR_4PACK";"RESPACK_4X0603";"Resistor Packs (4 resistors)";"";"";"";"";"";"";"";"";
"R25";"220";"RESISTOR_4PACK";"RESPACK_4X0603";"Resistor Packs (4 resistors)";"";"";"";"";"";"";"";"";
"R26";"10k";"RESISTOR0805";"0805";"Resistors";"";"";"";"";"";"";"";"";
"R27";"10k";"RESISTOR0805";"0805";"Resistors";"";"";"";"";"";"";"";"";
"R28";"10k";"RESISTOR0805";"0805";"Resistors";"";"";"";"";"";"";"";"";
"R29";"1k";"RESISTOR0805";"0805";"Resistors";"";"";"";"";"";"";"";"";
"R30";"1k";"RESISTOR0805";"0805";"Resistors";"";"";"";"";"";"";"";"";
"R31";"10k";"RESISTOR0603";"0603";"Resistors";"";"";"";"";"";"";"";"";
"R32";"10k";"RESISTOR0603";"0603";"Resistors";"";"";"";"";"";"";"";"";
"R33";"1k";"RESISTOR0603";"0603";"Resistors";"";"";"";"";"";"";"";"";
"R34";"100";"RESISTOR0805";"0805";"Resistors";"";"";"";"";"";"";"";"";
"R36";"10K";"RESISTOR0603";"0603";"Resistors";"";"";"";"";"";"";"";"";
"R37";"10K";"RESISTOR0603";"0603";"Resistors";"";"";"";"";"";"";"";"";
"R38";"10K";"RESISTOR0603";"0603";"Resistors";"";"";"";"";"";"";"";"";
"R39";"10K";"RESISTOR0603";"0603";"Resistors";"";"";"";"";"";"";"";"";
"R40";"10K";"RESISTOR0603";"0603";"Resistors";"";"";"";"";"";"";"";"";
"R41";"10K";"RESISTOR0603";"0603";"Resistors";"";"";"";"";"";"";"";"";
"R42";"10K";"RESISTOR0603";"0603";"Resistors";"";"";"";"";"";"";"";"";
"R43";"10K";"RESISTOR0603";"0603";"Resistors";"";"";"";"";"";"";"";"";
"R44";"10K";"RESISTOR0603";"0603";"Resistors";"";"";"";"";"";"";"";"";
"S1";"DTSM-6";"DTSM-6";"DTSM-6";"";"";"";"";"";"";"";"";"";
"S2";"";"EG1218S";"EG1218";"SLIDING SWITCH";"";"";"";"";"";"";"";"";
"SG1";"BUZZERPTH";"BUZZERPTH";"BUZZER-12MM";"Buzzer 12mm";"";"";"";"";"";"";"";"";
"U$1";"RESONATORSMD";"RESONATORSMD";"RESONATOR-SMD";"Resonator";"";"";"";"";"";"";"";"";
"U$14";"XT60";"XT60";"XT60";"XT60";"";"";"";"";"";"";"";"";
"U$55";"U.FL";"U.FL";"U.FL";"U.FL Antenna Connector";"";"";"";"";"";"";"";"";
"U1";"";"FT232RLSSOP28";"SSOP28DB";"FTDI FT232RL";"";"";"";"";"";"";"";"";
"U2";"PCA9685";"PCA9685";"TSSOP28";"PCA9685 - 16 Channel 12-Bit I2C PWM Controller";"";"";"";"";"";"";"";"";
"U3";"";"ESP12";"ESP12";"ESP8266 Wifi module 12";"";"";"";"";"";"";"";"";
"U4";"FGPMMOPA6H";"GPS_FGPMMOPA6H";"FGPMMOPA6H";"GPS Module - MTK MT3339 Chipset, -165dBm sensitivity, 22 channels, 10Hz, auto-select external antenna options";"";"";"";"";"";"";"";"";
"U5";"MIC5225-3.3";"VREG_SOT23-5";"SOT23-5";"SOT23-5 Fixed Voltage Regulators";"";"";"";"";"";"";"";"";
"U8";"MIC5225-3.3";"VREG_SOT23-5";"SOT23-5";"SOT23-5 Fixed Voltage Regulators";"";"";"";"";"";"";"";"";
